h3_id,events,fatalities,latitude,longitude
8358f2fffffffff,64,178,7.85557669489856,7.53233604997648
835888fffffffff,87,31,6.99347461688677,6.06984235789582
834ceefffffffff,113,99,18.6946062416156,-65.8124194112453
832db0fffffffff,1963,90,32.3308958241917,34.9954410558007
836b56fffffffff,12,3,12.0434383104688,27.0678916742035
832d81fffffffff,15,13,34.7798627130274,38.8664761042626
832db1fffffffff,647,353,33.2306104868128,35.8286788597289
832d85fffffffff,52,71,34.9927448564134,37.5280061972613
835f4cfffffffff,5,2,8.58859693001409,-63.8080054470731
833cf0fffffffff,35,20,23.5439425710277,88.9958464082988
833cf1fffffffff,64,31,23.8776661269195,90.1859295453066
834249fffffffff,23,9,30.8055201336783,75.2471247055081
833c1bfffffffff,26,12,25.3548786329265,88.4018284483602
833ccafffffffff,279,146,22.1797598344554,95.2480626479206
833cc8fffffffff,64,63,23.2653713827892,95.5725087878273
83648afffffffff,82,43,19.1718044285583,95.4803248783142
836488fffffffff,191,67,18.0563104478602,95.1605374466725
836416fffffffff,42,15,12.7637360202012,99.1218604756302
832d62fffffffff,1,1,47.4087852840715,37.9965548962273
835290fffffffff,10,39,11.4528569205175,36.0876419199218
832c29fffffffff,50,4,43.3238937450032,45.306961966223
839421fffffffff,1,0,-8.66807270759212,124.526014617215
832daefffffffff,312,293,36.0654132497427,37.0347497666001
833cf5fffffffff,21,11,24.6226713320327,89.2945967382498
835816fffffffff,73,171,12.1975021814944,3.36759883339363
834530fffffffff,29,30,15.462342525107,-85.5689121219561
838008fffffffff,49,45,-2.12796578296017,-44.0221147645604
835291fffffffff,49,155,11.3624311118495,37.1757102043483
836a72fffffffff,20,48,7.27223937043327,30.6263615444489
836a0dfffffffff,52,64,7.32840053697253,29.5123794461743
83384bfffffffff,146,94,33.1766128748329,12.7850495732064
839792fffffffff,15,14,-10.5417601657443,40.4287914403906
833cc2fffffffff,53,28,22.3514306953626,91.9625872059062
832d86fffffffff,29,54,33.0415036363987,37.161486000563
836d32fffffffff,37,42,17.0749529290485,-97.0726268067433
836ad1fffffffff,118,183,-1.0930058390078,28.4872559360777
83420efffffffff,44,28,26.3036755162933,65.0797426190924
834200fffffffff,297,122,26.2836286530818,62.954274989659
8358a9fffffffff,29,42,9.59799923921814,6.30494431793685
835806fffffffff,37,104,14.0903924340626,5.26929993944143
83585cfffffffff,148,147,12.380687907488,14.3452450410046
83581efffffffff,57,92,11.378876460132,6.11255787536266
836b00fffffffff,18,101,14.142731049589,22.4989971367049
8381aafffffffff,99,94,-8.72231985632094,-36.953828653984
838b8dfffffffff,10,6,-10.2035178900718,-59.2123755318875
838010fffffffff,79,79,-3.99272445564375,-38.9371206469577
83a89dfffffffff,36,28,-18.4283274769165,-42.3015388094098
83a829fffffffff,10,10,-23.7221769720358,-53.8798148678383
8381a1fffffffff,42,36,-11.0558785153548,-36.982872053298
83a88bfffffffff,9,4,-17.2589473266933,-44.3667483015804
834520fffffffff,174,184,15.3643069288787,-88.4082839242935
834859fffffffff,46,56,32.2731616233253,-116.052017742711
836d2efffffffff,9,6,15.9045369023103,-92.1948817634836
834995fffffffff,723,811,19.5891700430902,-98.8207321908605
8349aafffffffff,88,97,19.9957772851148,-103.069999658153
83588dfffffffff,71,35,7.8524848261772,6.49154416892033
83580bfffffffff,6,13,12.3586436592037,9.83809075478933
837a1cfffffffff,280,129,1.82449357945742,45.3391308065097
837a1efffffffff,45,45,2.70017739722129,45.8487126063154
832d8efffffffff,218,79,34.5544472864756,40.1862837451585
836743fffffffff,19,18,10.5582181534261,-68.1232192002831
83521cfffffffff,70,20,17.2414824658111,43.2384520488458
833cd9fffffffff,331,232,21.084659101988,94.9260078874347
833ccefffffffff,42,16,22.9700693202088,94.3649622242802
83426efffffffff,127,99,32.1554300843806,70.7071945962856
836851fffffffff,52,54,7.15902811877224,123.926691631006
836855fffffffff,13,12,8.01812416547622,123.201409767528
832d66fffffffff,9,24,47.6442208996601,36.4346802673094
832091fffffffff,5,3,35.5378102916316,70.8792704683706
8366d0fffffffff,51,56,1.22291150655029,-78.5401595994371
836724fffffffff,138,390,18.9070670347186,-72.9392564404525
831ef0fffffffff,4,1,43.2207163912571,19.8783393025324
83685efffffffff,28,31,6.29224130270912,124.654741856503
83435bfffffffff,24,16,31.127867843122,66.0446572236107
839786fffffffff,13,19,-13.5360312702101,38.646271082944
838116fffffffff,432,431,-12.7908060616789,-38.0368664305846
836b1afffffffff,45,65,10.3615052635587,22.3690230661071
836a2bfffffffff,113,199,8.24970078123209,29.0201596096018
836a73fffffffff,34,84,7.21338182646339,31.7396432498139
8349a8fffffffff,247,257,19.4987925580348,-104.199849088416
83581afffffffff,69,88,10.493121195508,6.73992346162858
8358f4fffffffff,108,88,9.61026787386677,7.36081263399915
838180fffffffff,267,275,-8.72859731558392,-34.9120470956607
835882fffffffff,30,19,6.98104103246042,3.04926048255954
838f28fffffffff,648,858,-1.50356306307478,-79.8292138240877
8366d3fffffffff,138,124,0.0934056449374666,-78.6545447748787
838f2dfffffffff,68,76,-1.04444804981102,-78.769768086125
835855fffffffff,46,73,13.3180959637365,12.5921552634115
8352e2fffffffff,62,35,14.16180983243,45.2449945393919
834983fffffffff,250,346,20.9650900068674,-100.795592684775
832db6fffffffff,917,2234,31.4198480565833,34.1733371510577
834215fffffffff,78,23,24.7255508559673,62.0248412298997
834240fffffffff,19,12,29.9526243845428,70.6019162261033
835850fffffffff,9,7,12.3788690339286,12.0761283754554
8358a1fffffffff,32,69,10.4273274784247,3.60014434963268
83661bfffffffff,93,117,5.40317358001455,-76.1446562620934
838ba5fffffffff,13,9,-15.2597983307584,-58.4740852623736
838073fffffffff,30,31,-1.47521872391371,-47.0629466322158
83a91bfffffffff,34,40,-27.6759599130876,-48.8615842519818
838171fffffffff,32,28,-10.2389289031342,-48.3198723778598
8381aefffffffff,98,79,-9.89129579420221,-36.9683261238506
836d29fffffffff,761,778,14.5516122036228,-90.4897853565809
832ca0fffffffff,63,38,33.810338225427,44.0244540836719
83a2a0fffffffff,5,3,-24.2512407598213,45.1678732304984
834856fffffffff,157,106,28.7469099268707,-111.436458036557
836d20fffffffff,127,174,17.7025929504054,-92.8757055683499
8358d2fffffffff,19,16,5.29007120056301,8.29305380126203
8382dafffffffff,66,110,5.3005472635425,7.26941627983859
837a0afffffffff,12,13,1.95343869701834,43.2112924679896
832daafffffffff,216,115,35.8536249257961,38.3937635256028
8352f0fffffffff,109,33,13.4682945441625,43.5116905379941
833cf3fffffffff,39,25,22.7923655299812,89.8836784998225
83661afffffffff,38,41,6.06278695691352,-77.0627144378561
8366c6fffffffff,125,99,2.11118892609057,-76.4579681363224
836a24fffffffff,22,26,11.1849589745331,25.2783109792183
835f5bfffffffff,15,10,11.3012215331739,-61.0380398551974
832126fffffffff,3,0,51.3663068756185,55.7647740172194
83a95bfffffffff,4,2,-23.5196162980552,-55.8866951360825
835549fffffffff,35,78,16.0776743210707,-3.97041641743577
837289fffffffff,3,2,-3.4949712212357,139.292048193522
836b5bfffffffff,13,15,9.93850318711612,31.4279073126161
83599dfffffffff,47,77,12.0680274055167,0.297966217640286
8366c2fffffffff,20,26,0.993336596373112,-76.5639517533127
833ceafffffffff,132,25,24.8241017533882,93.7971741826234
836ac5fffffffff,174,573,1.71696379640795,30.3576047804817
835814fffffffff,29,176,13.1156942295161,3.77544467791593
834988fffffffff,39,64,22.3324693751079,-102.828970541564
836d35fffffffff,102,117,17.9655557808472,-94.8724213848744
834274fffffffff,54,28,30.0338133735312,66.068798318384
836bb3fffffffff,13,8,7.78272243956371,16.161224815386
838181fffffffff,196,202,-8.1419885903012,-35.9246574410355
834534fffffffff,36,44,14.4083121955942,-85.8071737101214
83a8a2fffffffff,75,54,-22.7888120428778,-42.3970748978423
83a891fffffffff,45,35,-19.5642269822105,-40.2284817207908
83814afffffffff,19,21,-5.49772174869607,-50.2117331262082
838066fffffffff,12,11,-3.77234567407072,-49.1514558384676
838159fffffffff,53,56,-4.94436659122611,-49.185455243592
83802dfffffffff,4,2,-5.6182155343354,-46.1499021649507
838133fffffffff,18,25,-13.9284982596743,-40.1279017746504
83a8a1fffffffff,133,95,-22.7345764556896,-44.5032566044218
83a811fffffffff,32,25,-23.1314019603435,-47.664107621116
836b89fffffffff,6,0,6.73205496743214,22.2370989507728
83662bfffffffff,66,70,8.07663294555437,-72.0402351957581
836adefffffffff,382,738,-2.10276771534946,29.0124098722221
837acbfffffffff,21,64,8.56561345573009,38.384784233704
832c91fffffffff,25,11,30.078798647488,47.4772939047791
83485cfffffffff,5,8,30.5451541658424,-114.887542486534
8348f4fffffffff,149,145,29.0513269904837,-105.584357116369
835470fffffffff,6,15,14.4388730611442,-9.13083900352757
83bcf5fffffffff,5,5,-29.2642454298943,30.6868778147956
83bcdcfffffffff,8,7,-25.313178610794,28.3329895730415
8352dbfffffffff,19,10,8.75837154421644,46.2488720122395
836b4dfffffffff,5,47,13.4829365827832,34.1317747154525
836a35fffffffff,4,0,9.37954553659924,24.0376715929822
832d8dfffffffff,252,110,36.462702371478,40.6115267296253
833cc6fffffffff,41,18,23.1203933184209,91.0754001512599
8364aefffffffff,56,43,15.5752397943832,97.7489801344494
83648dfffffffff,57,11,16.9342358508469,94.8430811504512
8366c5fffffffff,9,9,1.87829916182062,-74.5040346895461
832092fffffffff,32,15,33.8721730579233,69.5875179408168
8366cdfffffffff,1,0,-0.581330974655071,-72.7507752680724
839c9dfffffffff,4,4,-6.23558402300038,146.785436743522
8342e5fffffffff,19,6,25.7538627562714,68.2827893674794
837b59fffffffff,15,6,-3.58798075263022,39.9043387341323
83585afffffffff,41,22,10.5240597716702,14.4129556533949
834985fffffffff,192,200,19.3220204677354,-102.062524916184
836a70fffffffff,28,54,8.13389515935562,31.2245637121696
834522fffffffff,39,47,15.7582805726506,-87.3751520448546
837a6efffffffff,57,9,-1.48970488474475,36.5339250710604
836ac0fffffffff,235,892,0.787993290333768,29.7390673482005
838f2afffffffff,176,222,-1.96444728185077,-80.894386899527
834255fffffffff,46,23,28.3659567300163,69.4205851637267
836a6efffffffff,8,26,8.79106406322136,35.1421181529142
835856fffffffff,7,4,12.3710047787973,10.9528332858369
835851fffffffff,54,94,12.3821283031512,13.2072019695864
8358e8fffffffff,11,8,9.62277259908725,12.7818591781455
836d21fffffffff,13,12,17.0107040926667,-91.9940807071272
836672fffffffff,65,46,6.37992985204246,-71.2284649171596
83806afffffffff,75,70,-0.223164732502595,-51.0502998395458
838b8cfffffffff,3,3,-10.8323976805027,-58.286547413813
838023fffffffff,24,22,-6.28104220085348,-43.0854598262675
838011fffffffff,22,19,-3.38600988158449,-39.9510210650068
83804cfffffffff,3,2,0.935236307581469,-51.013823648554
836ad8fffffffff,21,14,-2.16118735793333,30.1712134943315
83a31dfffffffff,3,3,-15.4614175248345,46.731432428198
834986fffffffff,82,87,19.1220126289733,-99.94608321206
834980fffffffff,261,288,19.8041415490767,-100.933363423362
8348b3fffffffff,35,39,26.5224102569664,-97.8467633643087
8359b2fffffffff,35,92,13.5113375102847,-3.93343629104806
8397b3fffffffff,35,62,-13.5479070434836,39.825405750749
834cc5fffffffff,100,85,18.2573863216157,-66.6805136238022
836b41fffffffff,4,11,13.6555270062095,31.854409529878
832c32fffffffff,131,37,37.2816699320247,41.4984895843658
832d8afffffffff,55,39,34.3172234686331,41.4864463767251
833c5afffffffff,5,0,27.2247829204293,95.6672250640014
833cc4fffffffff,28,10,24.2025741359538,91.3835071075332
83649afffffffff,6,1,21.6652884229891,97.330136335385
83422efffffffff,4,7,28.3845809251154,62.8087720948152
836856fffffffff,24,22,6.71947201012815,121.746745107111
836a49fffffffff,30,54,5.94998564196335,37.7976539151069
